,name,position,annual_salary,season
346,Dirk Nowitzki,PF,20907128.0,2013.0
347,Nicolas Batum,PF,20869566.0,2017.0
348,Allen Iverson,SG,20840625.0,2009.0
349,Stephon Marbury,PG,20840625.0,2009.0
350,Malcolm Brogdon,PG,20700000.0,2021.0
351,LeBron James,SF,20644400.0,2015.0
352,Chris Bosh,PF,20644400.0,2015.0
353,Tim Duncan,C,20598704.0,2009.0
354,LaMarcus Aldridge,C,20575005.0,2017.0
355,Danilo Gallinari,PF,20559599.0,2018.0
356,Dwight Howard,C,20513178.0,2014.0
357,Gary Harris,SG,20482143.0,2022.0
358,Danilo Gallinari,PF,20475000.0,2022.0
359,Jimmy Butler,SF,20445779.0,2019.0
360,Ryan Anderson,PF,20421546.0,2019.0
361,Tracy McGrady,SG,20370437.0,2009.0
362,Harrison Barnes,SF,20284091.0,2022.0
363,Kevin Durant,PF,20158622.0,2016.0
364,Blake Griffin,PF,20140839.0,2017.0
365,Mikal Bridges,SF,20100000.0,2023.0
366,Kyrie Irving,PG,20099189.0,2019.0
367,Derrick Rose,PG,20093064.0,2016.0
368,Paul Millsap,PF,20072033.0,2017.0
369,Chris Paul,PG,20068563.0,2015.0
370,Tim Hardaway Jr.,SF,20025127.0,2020.0
371,Jerami Grant,SF,20002500.0,2022.0
372,Shaquille O'Neal,C,20000000.0,2006.0
373,Shaquille O'Neal,C,20000000.0,2007.0
374,Dwyane Wade,SG,20000000.0,2016.0
375,Jabari Parker,PF,20000000.0,2019.0
376,Malcolm Brogdon,PG,20000000.0,2020.0
377,Jarrett Allen,C,20000000.0,2022.0
378,Jarrett Allen,C,20000000.0,2023.0
379,Amar'e Stoudemire,C,19948799.0,2013.0
380,Terry Rozier,SG,19894737.0,2020.0
381,Aaron Gordon,PF,19863636.0,2020.0
382,Domantas Sabonis,PF,19800000.0,2021.0
383,Domantas Sabonis,PF,19800000.0,2022.0
384,Dirk Nowitzki,PF,19795714.0,2010.0
385,Paul Pierce,SF,19795712.0,2010.0
386,Deron Williams,PG,19754465.0,2015.0
387,Joe Johnson,SG,19752645.0,2013.0
388,Jermaine O'Neal,C,19728000.0,2008.0
389,Jason Kidd,PG,19728000.0,2008.0
390,Aaron Gordon,PF,19690909.0,2023.0
391,LaMarcus Aldridge,C,19689000.0,2016.0
392,Kevin Love,PF,19689000.0,2016.0
393,Brook Lopez,C,19689000.0,2016.0
394,DeAndre Jordan,C,19689000.0,2016.0
395,Marc Gasol,C,19688000.0,2016.0
396,Dikembe Mutombo,C,19684000.0,2005.0
397,Fred VanVleet,PG,19675926.0,2022.0
398,Gary Harris,SG,19610714.0,2021.0
399,Tim Hardaway Jr.,SF,19602273.0,2023.0
400,Ryan Anderson,PF,19578455.0,2018.0
401,Rashard Lewis,PF,19573711.0,2011.0
402,Bojan Bogdanovic,SF,19550000.0,2023.0
403,Lonzo Ball,PG,19534884.0,2023.0
404,Paul George,PF,19508958.0,2018.0
405,Zach LaVine,SG,19500000.0,2019.0
406,Zach LaVine,SG,19500000.0,2020.0
407,Danilo Gallinari,PF,19500000.0,2021.0
408,Zach LaVine,SG,19500000.0,2021.0
409,Zach LaVine,SG,19500000.0,2022.0
410,Spencer Dinwiddie,PG,19500000.0,2023.0
411,Kobe Bryant,SF,19490625.0,2008.0
412,Carmelo Anthony,PF,19444503.0,2013.0
413,Eric Bledsoe,SG,19375000.0,2023.0
414,Tyler Johnson,SG,19356932.0,2019.0
415,Rudy Gay,SF,19317326.0,2015.0
416,Jimmy Butler,SF,19301070.0,2018.0
417,Pau Gasol,PF,19285850.0,2013.0
418,Pau Gasol,PF,19285850.0,2014.0
419,Kent Bazemore,SF,19269662.0,2020.0
420,Tyler Johnson,SG,19245370.0,2018.0
421,Goran Dragic,PG,19217900.0,2020.0
422,Tim Hardaway Jr.,SF,19200127.0,2019.0
423,John Wall,PG,19169800.0,2018.0
424,John Wall,PG,19169800.0,2019.0
425,Chris Webber,C,19125000.0,2006.0
426,Dirk Nowitzki,PF,19092873.0,2012.0
